Date,NVDA,SPY
2024-01-02,48.138572692871094,459.9912109375
2024-01-03,47.53993606567383,456.234619140625
2024-01-04,47.96868133544922,454.7650451660156
2024-01-05,49.0670051574707,455.3879699707031
2024-01-08,52.221073150634766,461.8889465332031
2024-01-09,53.1075325012207,461.1882629394531
2024-01-10,54.31679916381836,463.7965393066406
2024-01-11,54.78850555419922,463.5920715332031
2024-01-12,54.676578521728516,463.9132385253906
2024-01-16,56.347557067871094,462.2101135253906
2024-01-17,56.018760681152344,459.6408386230469
2024-01-18,57.07210922241211,463.7283935546875
2024-01-19,59.454654693603516,469.5092468261719
2024-01-22,59.61756134033203,470.50201416015625
2024-01-23,59.83642578125,471.8741455078125
2024-01-24,61.32451248168945,472.3899841308594
2024-01-25,61.57936096191406,474.9593200683594
2024-01-26,60.99371337890625,474.3559265136719
2024-01-29,62.42683410644531,478.1125183105469
2024-01-30,62.73564910888672,477.74273681640625
2024-01-31,61.48941421508789,469.9472351074219
2024-02-01,62.988494873046875,476.09796142578125
2024-02-02,66.11959075927734,481.1100769042969
2024-02-05,69.28964233398438,479.3582458496094
2024-02-06,68.18132019042969,480.7499084472656
2024-02-07,70.05615997314453,484.7596130371094
2024-02-08,69.59844970703125,484.9737243652344
2024-02-09,72.08895111083984,487.77655029296875
2024-02-12,72.20386505126953,487.56243896484375
2024-02-13,72.08395385742188,480.8472595214844
2024-02-14,73.8548583984375,485.21697998046875
2024-02-15,72.61360931396484,488.56488037109375
2024-02-16,72.56863403320312,486.1318664550781
2024-02-20,69.40957641601562,483.45550537109375
2024-02-21,67.43079376220703,483.8934020996094
2024-02-22,78.49002075195312,493.9078674316406
2024-02-23,78.76885986328125,494.2485046386719
2024-02-26,79.04369354248047,492.438232421875
2024-02-27,78.65291595458984,493.3531188964844
2024-02-28,77.61555480957031,492.7010192871094
2024-02-29,79.06366729736328,494.4723205566406
2024-03-01,82.22872924804688,499.11456298828125
2024-03-04,85.18492889404297,498.5793151855469
2024-03-05,85.91552734375,493.596435546875
2024-03-06,88.64997100830078,496.09759521484375
2024-03-07,92.6167221069336,501.02203369140625
2024-03-08,87.47863006591797,498.01483154296875
2024-03-11,85.72563171386719,497.586669921875
2024-03-12,91.86116027832031,502.9393005371094
2024-03-13,90.83674621582031,502.15093994140625
2024-03-14,87.8943862915039,501.1583251953125
2024-03-15,87.7874526977539,497.7170715332031
2024-03-18,88.40512084960938,500.6750793457031
2024-03-19,89.34758758544922,503.4573974609375
2024-03-20,90.32102966308594,508.11395263671875
2024-03-21,91.38343048095703,509.7931823730469
2024-03-22,94.2358169555664,508.8266906738281
2024-03-25,94.94841003417969,507.42095947265625
2024-03-26,92.50879669189453,506.4836730957031
2024-03-27,90.19908905029297,510.740234375
2024-03-28,90.30503845214844,510.6424560546875
2024-04-01,90.31202697753906,509.7541198730469
2024-04-02,89.40154266357422,506.5130310058594
2024-04-03,88.91382598876953,507.0694885253906
2024-04-04,85.85653686523438,500.880126953125
2024-04-05,87.95836639404297,506.1127014160156
2024-04-08,87.08384704589844,506.395751953125
2024-04-09,85.30583953857422,506.9815673828125
2024-04-10,86.98991394042969,501.9051818847656
2024-04-11,90.56490325927734,505.6929626464844
2024-04-12,88.13627624511719,498.71282958984375
2024-04-15,85.95248413085938,492.46490478515625
2024-04-16,87.36569213867188,491.5667724609375
2024-04-17,83.98759460449219,488.6575927734375
2024-04-18,84.62324523925781,487.6520080566406
2024-04-19,76.15702819824219,483.3956604003906
2024-04-22,79.47315979003906,487.8472900390625
2024-04-23,82.37651824951172,493.6363525390625
2024-04-24,79.63206481933594,493.4021301269531
2024-04-25,82.58539581298828,491.5276794433594
2024-04-26,87.68553161621094,496.1844177246094
2024-04-29,87.70751190185547,497.94158935546875
2024-04-30,86.35327911376953,490.0536193847656
2024-05-01,82.99415588378906,488.4623107910156
2024-05-02,85.76860046386719,493.0310974121094
2024-05-03,88.7389144897461,499.1424255371094
2024-05-06,92.08802795410156,504.2969055175781
2024-05-07,90.50292205810547,504.8533935546875
2024-05-08,90.36100769042969,504.9021911621094
2024-05-09,88.69694519042969,507.81134033203125
2024-05-10,89.82730102539062,508.4655456542969
2024-05-13,90.34801483154297,508.5338134765625
2024-05-14,91.30447387695312,510.8670959472656
2024-05-15,94.57661437988281,517.1932373046875
2024-05-16,94.30577850341797,516.1289672851562
2024-05-17,92.42683410644531,516.8709716796875
2024-05-20,94.72654724121094,517.4664306640625
2024-05-21,95.33219909667969,518.7355346679688
2024-05-22,94.89645385742188,517.2418823242188
2024-05-23,103.74047088623047,513.4638061523438
2024-05-24,106.40895080566406,516.8612060546875
2024-05-28,113.83676147460938,517.2222900390625
2024-05-29,114.7602310180664,513.6004638671875
2024-05-30,110.43768310546875,510.1935119628906
2024-05-31,109.57117462158203,514.8404541015625
2024-06-03,114.93514251708984,515.2601318359375
2024-06-04,116.37133026123047,515.8360595703125
