Date,AAPL,MSFT,NVDA,SPY
2024-01-02,183.56219482421875,364.5894470214844,48.138572692871094,459.9911804199219
2024-01-03,182.18772888183594,364.323974609375,47.539939880371094,456.2346496582031
2024-01-04,179.87393188476562,361.7091064453125,47.96868133544922,454.7650146484375
2024-01-05,179.15211486816406,361.5223388671875,49.06700897216797,455.38787841796875
2024-01-08,183.4830780029297,368.3447570800781,52.22107696533203,461.8890075683594
2024-01-09,183.06777954101562,369.4261169433594,53.10753631591797,461.1882629394531
2024-01-10,184.1060333251953,376.2879333496094,54.316795349121094,463.7965087890625
2024-01-11,183.5127716064453,378.116455078125,54.78850555419922,463.5921325683594
2024-01-12,183.8390655517578,381.89141845703125,54.676578521728516,463.9132385253906
2024-01-16,181.57470703125,383.6609191894531,56.347557067871094,462.21014404296875
2024-01-17,180.63531494140625,382.87445068359375,56.018760681152344,459.6408996582031
2024-01-18,186.5187225341797,387.199951171875,57.07210922241211,463.7283630371094
2024-01-19,189.41590881347656,391.9186706542969,59.45466232299805,469.5092468261719
2024-01-22,191.71983337402344,389.7953186035156,59.6175651550293,470.501953125
2024-01-23,192.99539184570312,392.144775390625,59.836429595947266,471.8741760253906
2024-01-24,192.32301330566406,395.7427673339844,61.324520111083984,472.3900146484375
2024-01-25,191.99671936035156,398.0137023925781,61.57936096191406,474.959228515625
2024-01-26,190.2663116455078,397.0895690917969,60.993717193603516,474.35589599609375
2024-01-29,189.5840301513672,402.78155517578125,62.42683792114258,478.1125183105469
2024-01-30,185.93531799316406,401.6706848144531,62.73564910888672,477.7427673339844
2024-01-31,182.33607482910156,390.8471374511719,61.48941421508789,469.9472351074219
2024-02-01,184.76853942871094,396.942138671875,62.98849868774414,476.0979919433594
2024-02-02,183.7698516845703,404.256103515625,66.11959075927734,481.1100769042969
2024-02-05,185.57933044433594,398.78045654296875,69.28964233398438,479.3582458496094
2024-02-06,187.18121337890625,398.6231384277344,68.18132019042969,480.74993896484375
2024-02-07,187.28997802734375,407.0382385253906,70.05616760253906,484.7596130371094
2024-02-08,186.2122039794922,407.0971984863281,69.59845733642578,484.9737243652344
2024-02-09,186.9745635986328,413.4281311035156,72.08894348144531,487.7765808105469
2024-02-12,185.29141235351562,408.22772216796875,72.20386505126953,487.5624694824219
2024-02-13,183.20236206054688,399.43914794921875,72.08393859863281,480.8472595214844
2024-02-14,182.3212127685547,403.2998352050781,73.8548583984375,485.217041015625
2024-02-15,182.03411865234375,400.4141845703125,72.61360931396484,488.56488037109375
2024-02-16,180.49948120117188,397.95196533203125,72.56863403320312,486.1318359375
2024-02-20,179.75694274902344,396.7012023925781,69.4095687866211,483.45550537109375
2024-02-21,180.50941467285156,396.100341796875,67.4307861328125,483.8934326171875
2024-02-22,182.53900146484375,405.42724609375,78.49002075195312,493.9078063964844
2024-02-23,180.70741271972656,404.1369934082031,78.76885223388672,494.24847412109375
2024-02-26,179.3609161376953,401.3793640136719,79.04369354248047,492.4383239746094
2024-02-27,180.81629943847656,401.3202819824219,78.65291595458984,493.3531188964844
2024-02-28,179.6183319091797,401.556640625,77.61556243896484,492.7010498046875
2024-02-29,178.95498657226562,407.3871765136719,79.06366729736328,494.4722595214844
2024-03-01,177.87579345703125,409.2190246582031,82.22872161865234,499.1145324707031
2024-03-04,173.361083984375,408.6477966308594,85.18492126464844,498.5793151855469
2024-03-05,168.43052673339844,396.5632629394531,85.91551971435547,493.596435546875
2024-03-06,167.4404754638672,396.01171875,88.64997100830078,496.0975646972656
2024-03-07,167.32167053222656,402.9552001953125,92.6167221069336,501.02203369140625
2024-03-08,169.03448486328125,400.07928466796875,87.4786376953125,498.0148620605469
2024-03-11,171.03443908691406,398.405029296875,85.72562408447266,497.58660888671875
2024-03-12,171.5096435546875,409.0023193359375,91.86116027832031,502.9393310546875
2024-03-13,169.43052673339844,408.8250732421875,90.83673095703125,502.15093994140625
2024-03-14,171.28196716308594,418.79205322265625,87.89439392089844,501.1583251953125
2024-03-15,170.90570068359375,410.1251220703125,87.7874526977539,497.7170715332031
2024-03-18,171.9947967529297,411.0115051269531,88.40512084960938,500.675048828125
2024-03-19,174.3313446044922,415.0397033691406,89.34758758544922,503.4573974609375
2024-03-20,176.89564514160156,418.8019714355469,90.32102966308594,508.1139831542969
2024-03-21,169.6681365966797,422.87933349609375,91.38343048095703,509.793212890625
2024-03-22,170.569091796875,422.2589111328125,94.23580932617188,508.82666015625
2024-03-25,169.15330505371094,416.4677429199219,94.94841003417969,507.4208984375
2024-03-26,168.02462768554688,415.2760314941406,92.50879669189453,506.48370361328125
2024-03-27,171.58885192871094,415.05938720703125,90.1990966796875,510.7400207519531
2024-03-28,169.77703857421875,414.3600769042969,90.30503845214844,510.64251708984375
2024-04-01,168.3414306640625,418.15191650390625,90.3120346069336,509.7541198730469
2024-04-02,167.1632537841797,415.0691833496094,89.40155029296875,506.5130920410156
2024-04-03,167.96522521972656,414.09417724609375,88.91382598876953,507.0694274902344
2024-04-04,167.14344787597656,411.56304931640625,85.85653686523438,500.880126953125
2024-04-05,167.8959197998047,419.0875549316406,87.95836639404297,506.11273193359375
2024-04-08,166.7771453857422,418.171630859375,87.08384704589844,506.3958740234375
2024-04-09,167.98500061035156,419.8360595703125,85.30584716796875,506.9815368652344
2024-04-10,166.11378479003906,416.86175537109375,86.98991394042969,501.9051208496094
2024-04-11,173.3016815185547,421.4611511230469,90.56488800048828,505.6929931640625
2024-04-12,174.7967071533203,415.5222473144531,88.13627624511719,498.71282958984375
2024-04-15,170.9750213623047,407.3871765136719,85.9524917602539,492.4648742675781
2024-04-16,167.69790649414062,408.3128967285156,87.36569213867188,491.5667419433594
2024-04-17,166.3315887451172,405.61431884765625,83.98759460449219,488.65753173828125
2024-04-18,165.38111877441406,398.1587829589844,84.62323760986328,487.65203857421875
2024-04-19,163.36138916015625,393.0866394042969,76.15702819824219,483.3955993652344
2024-04-22,164.19305419921875,394.8988037109375,79.47315979003906,487.8472900390625
2024-04-23,165.24252319335938,401.4089050292969,82.37650299072266,493.6363830566406
2024-04-24,167.3414764404297,402.8763732910156,79.63206481933594,493.4021301269531
2024-04-25,168.2028350830078,393.0078430175781,82.58539581298828,491.5276794433594
2024-04-26,167.61871337890625,400.1778259277344,87.68551635742188,496.18438720703125
2024-04-29,171.7769775390625,396.1693420410156,87.70751190185547,497.9416198730469
2024-04-30,168.63848876953125,383.4446105957031,86.35327911376953,490.0536193847656
2024-05-01,167.61871337890625,388.9698181152344,82.9941635131836,488.46234130859375
2024-05-02,171.31163024902344,391.8260192871094,85.76859283447266,493.0311279296875
2024-05-03,181.5588836669922,400.5126647949219,88.7389144897461,499.1423645019531
2024-05-06,179.9054412841797,407.2886047363281,92.08802795410156,504.296875
2024-05-07,180.58859252929688,403.1521301269531,90.50291442871094,504.8534240722656
2024-05-08,180.9252471923828,404.333984375,90.36101531982422,504.90216064453125
2024-05-09,182.73704528808594,406.08709716796875,88.69695281982422,507.8114013671875
2024-05-10,181.47793579101562,408.4705505371094,89.82730102539062,508.4655456542969
2024-05-13,184.68019104003906,407.4659118652344,90.3480224609375,508.5337219238281
2024-05-14,185.82032775878906,410.262939453125,91.30447387695312,510.8670349121094
2024-05-15,188.09066772460938,417.43603515625,94.57662200927734,517.1929931640625
2024-05-16,188.20965576171875,415.3739318847656,94.3057861328125,516.1289672851562
2024-05-17,188.2393798828125,414.6043395996094,92.42683410644531,516.8709716796875
2024-05-20,189.3993377685547,419.6658630371094,94.72655487060547,517.4664916992188
2024-05-21,190.69808959960938,423.3165283203125,95.33219909667969,518.7355346679688
2024-05-22,189.26052856445312,424.7767333984375,94.89645385742188,517.2420043945312
2024-05-23,185.2750701904297,421.3037414550781,103.74047088623047,513.4638671875
2024-05-24,188.34844970703125,424.42156982421875,106.4089584350586,516.8611450195312
2024-05-28,188.3583526611328,424.5794372558594,113.83676147460938,517.2224731445312
2024-05-29,188.65576171875,423.44476318359375,114.7602310180664,513.6005249023438
2024-05-30,189.64715576171875,409.1382141113281,110.43767547607422,510.19342041015625
2024-05-31,190.5989532470703,409.592041015625,109.5711669921875,514.84033203125
2024-06-03,192.36366271972656,408.00360107421875,114.93514251708984,515.2601318359375
2024-06-04,192.68089294433594,410.5195007324219,116.37133026123047,515.836181640625
2024-06-05,194.1878662109375,418.3536071777344,122.3709487915039,521.966796875
2024-06-06,192.80978393554688,418.8568115234375,120.92974853515625,521.9572143554688
2024-06-07,195.19911193847656,418.1957702636719,120.81981658935547,521.3225708007812
2024-06-10,191.4614715576172,422.1621398925781,121.72130584716797,522.9334106445312
2024-06-11,205.3709716796875,426.9079284667969,120.85173034667969,524.1926879882812
2024-06-12,211.2401580810547,435.1761474609375,125.13966369628906,528.4979248046875
2024-06-13,212.40008544921875,435.689208984375,129.5475311279297,529.56201171875
2024-06-14,210.6651153564453,436.666015625,131.8164520263672,529.8843383789062
2024-06-17,214.80923461914062,442.388671875,130.91688537597656,534.1015014648438
2024-06-18,212.4496612548828,440.3857421875,135.5146484375,535.4585571289062
2024-06-20,207.87924194335938,439.7542724609375,130.71697998046875,534.0039672851562
2024-06-21,205.70806884765625,443.7798767089844,126.50899505615234,533.2880249023438
2024-06-24,206.3524627685547,441.6979675292969,118.05306243896484,531.554443359375
2024-06-25,207.2744903564453,444.9342041015625,126.02923583984375,533.6015014648438
2024-06-26,211.4185791015625,446.12811279296875,126.33908081054688,534.2673950195312
2024-06-27,212.2613067626953,446.8089294433594,123.93024444580078,535.1096801757812
2024-06-28,208.81118774414062,440.9875793457031,123.48046112060547,533.0039672851562
2024-07-01,214.8885498046875,450.6371154785156,124.24010467529297,534.1008911132812
2024-07-02,218.3782958984375,453.1531066894531,122.61087799072266,537.6953125
2024-07-03,219.64732360839844,454.6231994628906,128.21817016601562,540.0947875976562
2024-07-05,224.3961639404297,461.3226318359375,125.76936340332031,543.2094116210938
2024-07-08,225.86346435546875,460.020263671875,128.13819885253906,543.8361206054688
2024-07-09,226.71609497070312,453.4096374511719,131.3166961669922,544.364990234375
2024-07-10,230.97914123535156,460.0301208496094,134.84500122070312,549.7515258789062
2024-07-11,225.61563110351562,448.6341857910156,127.33860778808594,545.0113525390625
2024-07-12,228.56008911132812,447.49951171875,129.177734375,548.4490356445312
2024-07-15,232.386962890625,447.904052734375,128.3781280517578,549.957275390625
2024-07-16,232.80335998535156,443.5233154296875,126.29911041259766,553.2186279296875
2024-07-17,226.9143829345703,437.6033020019531,117.93313598632812,545.4618530273438
2024-07-18,222.25473022460938,434.4953918457031,121.0316390991211,541.27001953125
2024-07-19,222.3836212158203,431.2788391113281,117.8731689453125,537.6757202148438
2024-07-22,222.03660583496094,437.03106689453125,123.48046112060547,543.218994140625
2024-07-23,223.0775909423828,438.91558837890625,122.53092193603516,542.3670654296875
2024-07-24,216.6631622314453,423.1783752441406,114.1949462890625,530.0755615234375
2024-07-25,215.6221923828125,412.8184509277344,112.22589111328125,527.313720703125
2024-07-26,216.08815002441406,419.5967712402344,113.00550842285156,533.2194213867188
2024-07-29,216.36572265625,421.0373229980469,111.53622436523438,533.5328369140625
2024-07-30,216.92092895507812,417.27813720703125,103.68000793457031,530.8297729492188
2024-07-31,220.17276000976562,412.7691345214844,116.96359252929688,539.458251953125
2024-08-01,216.48472595214844,411.5456237792969,109.15736389160156,531.8189697265625
2024-08-02,217.97181701660156,403.04058837890625,107.21829986572266,521.9172973632812
2024-08-05,207.47280883789062,389.87860107421875,100.4015884399414,506.7171630859375
2024-08-06,205.45028686523438,394.27911376953125,104.19976806640625,511.3887939453125
2024-08-07,208.01805114746094,393.1148376464844,98.8623275756836,507.9707946777344
2024-08-08,211.47808837890625,397.3180236816406,104.9194107055664,519.7137451171875
2024-08-09,214.38291931152344,400.60357666015625,104.69951629638672,522.0054321289062
2024-08-12,215.9114532470703,401.3830871582031,108.96746826171875,522.2797241210938
2024-08-13,219.62362670898438,408.4870300292969,116.08402252197266,530.868896484375
2024-08-14,220.07029724121094,411.2989807128906,118.02310943603516,532.5438232421875
2024-08-15,223.04795837402344,416.1620788574219,122.80079650878906,541.671630859375
2024-08-16,224.36807250976562,413.6317138671875,124.51996612548828,542.8860473632812
2024-08-19,224.2092742919922,416.65631103515625,129.93734741210938,548.0768432617188
2024-08-20,224.82464599609375,419.8885192871094,127.18867492675781,547.1856079101562
2024-08-21,224.7154541015625,419.2361755371094,128.43804931640625,549.0661010742188
2024-08-22,222.85939025878906,410.7454528808594,123.68035888671875,544.7566528320312
